manufacturer_keywords,product_keywords,Unique Identifier 
pt indo medical diagnostic,safety rapid  ag,869
pt indo medical diagnostik,ia 19 rapid  antigen  ,866
pt indonesia farma,aptamex  dna aptamer gold nanoparticle  ,883
pt indonesia farma,aptamex  dna aptamer gold nanoparticle 110,867
pt indonesia farma,smart diagnostic antibody igmigg rapid ,879
pt interskala medika indonesia,genomic  antigen colloidal gold,864
pt interskala medika indonesia,is  antigen colloidal gold,868
pt interskala medika indonesia,medicheck  antigen colloidal gold,863
pt interskala medika indonesia,vitrogen  antigen colloidal gold,862
pt jayamas medica industri,onemed  detecto  antigen rapid ,892
pt jayamas medica industri,onemed rapid  igmigg antibody  ,885
pt jayatunggal sekarmulia,wholepower  antigen rapid diagnostic ,871
pt jayatunggal sekarmulia,wholepower  iggigm one step rapid diagnostic ,874
pt kalgen dna,elva diagnostic saliva nucleic acid  ,886
pt kimia farma tbk,kimia farma  iggigm ,881
pt newsha inovasi internasional,newsha genomics  antigen ag s,877
pt oneject indonesia,bioquick  ag rapid  device nasopharyngeal,878
pt oneject indonesia,bioquick ag rapid  device nasal,865
pt pakar biomedika indonesia,uji cepad  ag ,872
pt prodia diagnostic line,bpro  ag rapid diagnostic ,880
pt sedoyo sami sehat,fast  antigen rapid ,870
pt standard biosensor healthcare,fastclear  ag ,891
pt taishan alkes indonesia,clungene ind  antigen rapid  cassette,888
pt taishan alkes indonesia,ekomed  antigen rapid  device,884
pt taishan alkes indonesia,indoswab  antigen rapid ,873
pt taishan alkes indonesia,newlungene  antigen rapid  casette,876
pt taishan alkes indonesia,taishan indonesia  antigen rapid ,887
pt tempo merah putih,tempo diagnostic  antigen rapid nasal swab,875
qawach bio,insta ag ,352
qawach bio pvt ,insta ag ,1236
qiagen gmbh,qiareach antigen ,514
qiagen gmbh,qiastat dx respiratory  panel,515
qiagen hilden germany,qiagen prepamp viral rna um  with the n1n2 ,986
qingdao hightop biotech , ag,152
qingdao hightop biotech , ag  celer biotecnologia,153
qingdao hightop biotech ,sure bio tech  iggigm rapid lateral flow assay,898
qingdao hightop biotech  china,  igmlggantibody rapid ,634
qorvo biotechnologies ,omnia antigen ,468
qrx private limited delhi,saraltest lamp ,1407
quadrant biosciences ,clarifi ,122
qualpro diagnostics division of tulip diagnostics pvt ,qualisa  igg anti  igg elisa,1209
quantabio,cdc 2019 novel coronavirus 2019  real time diagnostic panel,939
quanterix corporation,simoa n protein antigen ,669
quanterix corporation,simoa nprotein antigen ,670
quantumdx united kingdom allybio private limited,quantumdx detection assay,1408
quest diagnostics infectious disease ,quest diagnostics ha  rrt ,527
quest diagnostics infectious disease ,quest diagnostics pf  rrt ,528
quest diagnostics infectious disease ,quest diagnostics rc  rrt ,529
quest diagnostics infectious disease ,quest rrt ,530
quibasa qumica bsica a,bioclin fast  ag,83
quidel corp,lyra rrt ,403
quidel corp,solana assay,682
quidel corporation,lyra assay,1001
quidel corporation,lyra direct assay,1000
quidel corporation,quickvue  antigen ,"542,543"
quidel corporation,quickvue at home  ,540
quidel corporation,quickvue at home otc  ,"541,1157"
quidel corporation,sofia  antigen fia,681
quidel corporation,sofia 2  antigen fia,680
quidel corporation,sofia 2 flu antigen fia,679
quidel corporation,solana assay,996
racer technology  ,clearepi  detect antigen rapid ,819
rapigen ,biocredit  ag,87
rapigen ,biocredit  ag  nasal,89
rapigen ,biocredit  ag home  nasal,88
rapigen 34f 16 lsro 91beongil dongangu anyangsi gyeonggido 14119 republic of korea,biocredit  ag,1042
rbiopharm,rida gene  ,965
rbiopharm,ridagene  ,984
rbiopharm ag,rida quick antigen ,584
recombigen laboratory pvt  new delhi india, rapid antigen  ,1243
reliance industries limited india, green  realtime pcr,1409
reliance industries limited india,r green pro one taqman based real time ,1410
resilient supplier,resilient  rpido direct read antigen  cassette ,577
resilient supplier,resilient  rpido direct read antigen influenza ab ,576
resilient supplier,resilient rpido direct read antigen paper strip  ,578
reszon diagnostics international sdn bhd,reszon  rapid antigen ,581
rheonix,rheonix  mdx assay,583
roche diagnostics,  rapid antigen standard antigen ,647
roche diagnostics,cobas ,"132,133"
roche diagnostics,cobas  ,131
roche diagnostics ,  rapid antigen ,643
roche diagnostics ,eclusis reagent ag,252
roche diagnostics ,elecsys antigen ,256
roche diagnostics gmbh,elecsys anti e1g,893
roche diagnostics gmbh,elecsys anti e2g,911
roche diagnostics gmbh,roche elecsys  anti s immunoassay e1g,914
roche diagnostics gmbhsandhofer str116 68305 mannheim germany,elecsys anti ,777
roche diagnostics pvt ,elecsys antigen  clia cobas e411,1241
roche diagnostics switzerland,light mix modular 19 rdrp,1411
roche molecular systems,cobas  influenza ab nucleic acid  use on the cobas liat systems,809
roche molecular systems ,cobas  influenza ab,972
roche molecular systems ,cobas qualitative nucleic acid  use on the cobas 68008800 systems,811
roche molecular systems 1080 us highway 202 south branchburg nj 08876 usa,cobas  influenza ab nucleic acid  use on the cobas liat system material code 09211101190,1105
rohto pharmaceutical ,check mr cov19,119
romedholland  van oostveen medical bv,romed coronavirus ag rapid  cassette swab,588
safecare biotech hangzhou , antigen swab,192
sakura tech  ,sherlock crispr ,1002
salofa oy,clarity  antigen rapid  cassette,123
salofa oy,ovios antigen rapid  cassette,479
salofa oy,salocor  antigen rapid  cassette,593
salofa oy,sienna  iggigm rapid  cassette,909
salofa oy,sienna clarity  antigen rapid  cassette,668
salofa oy,sienna clarity coviblock  iggigm rapid  cassette,667
salofa oy,spring health  antigen rapid  cassette,686
sansure bio tech ,novel coronavirus 2019  nucleic acid diagnostic  fluorescence probing,447
sansure biotech , nucleic acid pcrtest ,987
sansure biotech ,acs 2019 nucleic acid based diagnostic reagent ,917
sansure biotech ,reagents dna andor rna extraction and preparation bacteria andor virus,936
sansure biotech ,sansure2019 nucleic acid based diagnostic reagent ,950
sansure biotech  changsha china,novel coronavirus2019 nucleic acid diagnostic  fluorescence probing,1412
sansure biotech no680 lusong road hitech development zone yuelu district changsha hunan prove 410205 peoples republic of china,novel coronavirus 2019 nucleic acid diagnostic  fluorescence probing,1050
schebo biotech ag,schebo quick antigen,655
sciencell,sciencell coronavirus real time  qpcr detection  multiplex option,656
sd biosensor,athome kit nasal,1116
sd biosensor,sd biosensor rapid antibody ,815
sd biosensor,sd biosensor rapid antigen ,810
sd biosensor,sd biosensor rapid antigen  nasal,812
sd biosensor,standard  igmigg combo ,853
sd biosensor,standard  igmigg duo ,854
sd biosensor,standard n real time detection ,690
sd biosensor,standard n realtime detection  ,967
sd biosensor ,  rapid antigen  nasal,649
sd biosensor ,  rapid antigen self  nasal,642
sd biosensor ,standard  ag ,691
sd biosensor ,standard  ag   eco diagnostica ltda,694
sd biosensor ,standard  ag fia,687
sd biosensor ,standard  ag fia  eco diagnostica ltda,688
sd biosensor ,standard  ag home ,692
sd biosensor ,standard flu ag combo ,"689,695"
sd biosensor  c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,standard  ag  ,1048
sd biosensor  distributed roche diagnostics australia,  rapid antigen ,"644,645,646"
sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,  rapid antibody ,1099
sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,  rapid antigen ,1074
sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,standard  ag  ,1047
sd biosensor c4th5th 16 deogyeongdaero1556beongil yeongtonggu suwonsi gyeonggido16690 republic of korea,standard n real time detection ,"1037,1036"
sd biosensor healthcare pvt ,ultracovi  catch home ,1115
sd biosensor healthcare pvt  gurugram haryana india,standard  igg elisa,1207
sd biosensor korea supplied rochediagnostics,  rapid ag  nasal,1141
sd biosensor south korea,n real time detection ,1413
sd biosensor south korea,standard  ag fia analyser standard f2400,1142
sd biosensor south korea  india,standard  ag,1215
seasun biomaterials,aq top  rapiddetection ,47
seasun biomaterials,aq top  rapiddetection  plus,48
seasun biomaterials,u top  detection ,729
seegene ,allplex  fluaflubrsv assay,974
seegene ,allplex 2019 assay,927
seegene ,allplex 2019 assay ,"35,36"
seegene ,allplex master assay,1004
seegene ,allplex variant assay,1005
seegene  ,allplex assay nucleic  acid technique nat,961
seegene  taewon bldg 91 ogeumro songpagu seoul republic of korea,allplex master assay,1031
seegene south korea,allplex 2019 assay,1414
seegene south korea,allplex master assay,1415
seegene taewon bldg 91 ogeumro songpagu seoul republic of korea,allplextm assay,1015
sekisui medical ,rapidtesta  ,565
seloi healthcare,insta  ag one step antigen rapid ,351
seloi healthcare pvt mumbai maharashtra india,insta  ag onestep antigen rapid ,1144
sensingself  ,s1  rapid antigen ,590
sensingself  ,s4 multiplex rapid antigen  mersinfluenza ainfluenza b,591
sensitest the netherlands bv,sensitest joysbio antigen rapid  ,659
sentinel diagnostics italy,stat nat  realtime ,1416
sentinel diagnostics italy kopran laboratories limited,stat nat  hk lyophilized mix qualitative detection novel corona virus in realtime pcr,1417
sg diagnostics, antigen rapid  ,185
sga medikal,  rapid ag colloidal gold,640
sga medikal,  rapid ag ifa,641
shambhav medical uttar pradesh,virodetect  real time ,1418
shangahai zj biotech,multiple respiratory virus nuceic acid ivd  nucleic acid technique nat,931
shanghai biogerm medical technology room 13021307 1309 building 3 no 1588 huhang highway fengxian district shanghai china,novel coronavirus 2019 nucleic acid detection  fluorescence probing,1103
shanghai bionaire biotech ,bionaire novel coronavirus  antigen  colloidal gold,795
shanghai chemtron biotech , and influenza ab antigen combo rapid  colloidal gold,162
shanghai chemtron biotech , antigen rapid  colloidal gold,172
shanghai chemtron biotech ,influenza abrsvadenovirus antigen combo rapid  colloidal gold,223
shanghai chemtron biotech ,influenza abrsvantigen combo rapid  colloidal gold,224
shanghai fosun long march medical science  china,fosun  pcrdetection ,"285,286"
shanghai fosun long march medical science  china,novel coronavirus 2019  detection  commercial name fosun 2019 qpcr,451
shanghai geneodx biotechnology  china,novel coronavirus 2019 nucleic acid detection  real time pcr,457
shanghai kehua bio engineering ,diagnostic  nucleic acid real time pcr,241
shanghai zj biotech  china,novel coronavirus 2019  real time multiplex  ,449
shanghai zj biotech  china,novel coronavirus 2019  real time multiplex detection 3 genes,450
shankaranarayana life sciences llp karnataka,sn  ensure one step multiplex detection ,1419
shenzenunimedica technology  vishat diagnostics pvt ,real time  novel coronavirus 2019 orf1ab n,1420
shenzhen bioeasy biotechnology ,bioeasy 2019 ag fluorescence rapid time resolved fluorescence,90
shenzhen kisshealth biotechnology ,  antigen  gica,806
shenzhen landwind biotechnology ,landwind antigen colloidal gold,818
shenzhen lvshiyuan biotechnology ,green spring antigen rapid  ,314
shenzhen lvshiyuan biotechnology ,green spring flu  flu   ag rapid ,313
shenzhen microprofit biotech ,  antigen fluorescence immunoassay,626
shenzhen microprofit biotech , influenza ab antigen combo colloidal gold,600
shenzhen mindray biomedical electronics  china,  igg clia,1206
shenzhen mindray biomedical electronics co,mindray crea creatinine  sarcosine oxidase method,820
shenzhen new industries biomedical engineering  no23 jinxiu east road pingshan district 518122 shenzhen pr china,maglumi 2019 igg clia,1080
shenzhen new industries biomedical engineering  no23 jinxiu east road pingshan district 518122 shenzhen pr china,maglumi 2019 iggigm clia,1093
shenzhen new industries biomedical engineering  no23 jinxiu east road pingshan district 518122 shenzhen pr china,maglumi 2019 igm clia,1089
shenzhen unimedica technology  room 202 block 6th liuxian culture park xili town nanshan district shenzhen guangdong prove pr china,novel coronavirus 2019 nucleic acid detection  fluorescence method,1108
shenzhen unimedica technology room 202 block 6th liuxian culture park xili town nanshan district shenzhen guangdong prove pr china,novel coronavirus 2019 nucleic acid detection  fluorescence method,1106
shenzhen yhlo biotech ,gline 2019 ag,311
shenzhen yhlo biotech ,iflash 2019 antigen,332
shenzhen yhlo biotech ,unicell 2019 ag,730
sherlock biosciences ,sherlock crispr ,666
shimadzu corporation,ampdirect 2019 detection ,40
shinjin medics ,diakey  ag rapid ,242
sidak life care pvt  haryana india,mp real time   rna,1421
sidak life care pvt  new delhi india,one step  igmigg antibody,1167
sidak lifecare pvt ,one step novel corona virus  antigen  ,470
sidak lifecare pvt  jhajjar hayana india,one step novel corona virus  antigentest ,1145
siemens health care diagnostics  511 benedict ave tarrytown ny 10591 usa,siemens atellica im total ,783
siemens healthcare diagnostics ,advia centaur antigen cov2ag,26
siemens healthcare diagnostics ,atellica im antigen cov2ag,61
siemens healthcare diagnostics  500 gbc drive mailstop 514 po box 6101 newark de 19714 usasiemens healthcare diagnostics 500 gbc drive mailstop 514 po box 6101 newark de 19714 usa,siemens dimensionexl  total antibody assaycv2t ,784
siemens healthcare diagnostics  511 benedict avenue tarrytown ny 10591 usa siemens healthcare diagnostics 333 coney street east walpole ma 02032 usa,advia centaur  iggscovg ,765
siemens healthcare diagnostics  511 benedict avenue tarrytown ny 10591 usa siemens healthcare diagnostics 333 coney street east walpole ma 02032 usa,atellica im igg scovg ,775
siemens healthcare private limited vadodara india,imdx multiplex en gene rtpcr assay,1422
siemens healthineers,clinitest rapid  antigen ,126
sml genetree ,ezplex g ,277
snibe  shenzhen new industries biomedical engineering ,maglumi ag clia,404
snp biotechnology rd ,coviwok   ,979
snp biotechnology rd  turkey wockhardt , real time  v1,1423
solgent  represented jk toxpert,diaplexq novel coronavirus 2019 detection ,243
sona nanotech,sona  lfa,683
spartan bioscience  canada,spartan  system  cartridge,684
speedx pty  australia,plexpcr  ,504
spring healthcare services ag,  antigen rapid  cassette swab,616
spring healthcare servicesag,spring healthcare  19 igmigg rapid ,902
sreechitratirunal institute for medical sciencestechnology kerala,chitra  cov2 multiplex ,1424
sri sathya sai institute of higher learning anantpur andhra pradesh india,saic 19 ag ,592
st petersburg research institute of vaccinessera fsue spbsrivs fmba,  tru eia,652
stellence pharmsciences pvt ,stellence  qpcr ,1425
strumed solutions pvt  chennai tamilnadu india,instaxplor  ag  rapid antigen ,1146
strumed solutions pvt  chennai tamilnadu india,instaxplor 19 ag  rapid antigen ,355
sudxbiotec corporation,sgnp ncovflu detection ,661
sugentech ,sgti flex  ag,663
sugentech ,sgti flex  igg,"664,665"
sugentech ,sgti flex flu ab ag duo,662
sugentech 72126 jeongjungyeonjero osongeup heungdeokgu cheongjusi chungcheongbukdo 28161 republic of korea,sgti flex  igmigg,1079
sun yatsen university da an gene company limited  no19 xiangshan road science park high new technology development district guangzhou guangdong pr china,detection  2019 novel coronavirus 2019 fluorescence,1054
sure biotech usa ,2019 antigen rapid  colloidal gold,7
sure biotech usa ,diagnostic  ag fluorescence immunochromatographic assay,240
surescreen diagnostics ,surescreen  antigen rapid  cassette,699
surescreen diagnostics ,surescreen  iggigm rapid ,901
suzhou saier immunobiotech  saier biotech,instantsure  ag card,354
suzhou symbio lifescience  china represented perkinelmer,perkinelmer real time assay,498
sysmex corporation,2019 fluorescence detection real time ,12
sysmex corporation,hiscl ag assay ,321
sysmex corporation,hiscl ag reagent ,322
t2 biosystems ,t2  panel,701
taidoc technology corporation,fora  antigen rapid ,284
taidoc technology corporation,vtrust  antigen rapid ,746
taidoc technology corporation taiwan,fora  antigen rapid ,1233
takara bio ,takara direct detection ,702
talis biomedical corporation,talis one  cartridge pack,703
tata medical  diagnostics  mumbai maharashtra india,tata md check omisure,1148
tata medicaldiagnostics ,tata md check 3 gene,1428
tata medicaldiagnostics ,tata md check fast,1429
tata medicaldiagnostics ,tata md check fast 3 gene,1430
tata medicaldiagnostics ,tata md check flex,1431
tata medicaldiagnostics ,tata md check xf,"1426,1427"
tauns laboratories ,immuno ace  capilia  ,335
tauns laboratories ,imunoace capilia  ,342
tbg biotechnology corp,exprobetm ing ,275
tbg biotechnology corp,tbg igg  igmrapid  ,714
tcm limited kerala,covi detect  2 real time detection ,1432
td diagnostics canada pvt  ,sienna  iggigm rapid  cassette,896
tecnobios srl,fast  antigen rapid colloidal gold,278
tellgen corporation,  nucleic acid detection  based on real time platform,638
theragen biologics private limited tamil nadu,gen  corona virus single tube multiplex detection ,1433
thermo fisher scientific ,taqpath  ,710
thermo fisher scientific ,taqpath  ce ivd ,704
thermo fisher scientific ,taqpath  combo  advanced,707
thermo fisher scientific  see also life technologies corporation,amplitude solution with taqpath  high throughput combo ,42
thermo fisher scientific  see also life technologies corporation,taqpath  combo ,706
thermo fisher scientific  see also life technologies corporation,taqpath  fast pcrcombo  20,708
thermo fisher scientific  see also life technologies corporation,taqpath  flua flub combo ,711
thermo fisher scientific  see also life technologies corporation,taqpath  pooling ,713
thermo fisher scientific  see also life technologies corporation,taqpath  rnase combo  20,709
thermo fisher scientific  see also life technologies corporation,taqpath new coronavirus real time pcrdetection ,712
thermo fisher scientific us invitrogen bioservices india pvt ,covipath  a50780,1434
tns  bio tns, pna ,214
tns co, pna ,956
tody laboratories int,coronavirus  influenza ab antigen combo nasopharyngeal specimen,135
tody laboratories int,coronavirus antigen nasopharyngeal specimen,137
tody laboratories int,coronavirus antigen oral fluid,136
tokyo boeki medisys,afias  ag  cartridge,29
tokyo boeki medisys ,afias  ag cartridge,28
tosoh bioscience,cl aia pack ag,120
tosoh corporation,cl aia pack ag,121
tosoh corporation,trcready  ,724
toyobo ,gene cube  ,301
toyobo ,gene cube hq  ,300
toyobo ,immunoarrow  ,336
toyobo ,immunoarrow antigen  ,337
transasia biomedical ,erbaqik  ag rapid ,1237
transasia biomedicals  mumbai maharashtra india,erbalisa  igg elisa,1194
transasia diagnostics solutions limited maharashtra,erbamdx  ,1435
transcience innovative technologies chennai,truescreen  multiplex real time detection ,1436
trivitron healthcare pvt ,biocard pro  antigen ,82
trivitron healthcare pvt ,sure direct multiplex with extraction free technology,1439
trivitron healthcare pvt ,sure multiplex realtime ,1437
trivitron healthcare pvt ,sure pro multiplex ,1438
trivitron healthcare pvt  mumbai maharashtra india, kavach anti human igg elisa ,1199
tulip mdiagnostics  verna,amplichain  ,1440
twist bioscience corporation,  ngs assay,637
ubio biotechnology systems private limited,sensit  rapid antigen  ,658
ubio biotechnology systems private limited,viragen molecular diagnostics  real  time ,1441
ubio biotechnology systems pvt  kochin kerala india,sensit rapid  ag ,1222
ustar biotechnologies hangzhou  china,diagnostic  novel  coronavirus 2019 rna isothermal amplification real time fluorescence assay,239
ustar biotechnologies hangzhou  china,easynat diagnostic  novel coronavirus 2019  rna isothermal amplification real time fluorescence assay,250
vanguard diagnostics delhiindia , igmigg antibodydetection card  ,1159
vazyme medical technology  floor 13 building c2 red maple park of technolngical industry kechuang road economy  technology development zone nanjing china,2019 novel coronavirus 2019 triplex qpcr detection ,1027
vela operations singapore  ,virokey ,739
vela operations singapore  ,virokey  v20,740
vida biotecnologia  me, ag fast,154
vida biotecnologia  me, ag se rapido,159
vida biotecnologia  me,vida fia  ag,738
vimek bioconcept pvt ,  fluorescent pcr,1442
vircell sl,vircell microbiologists direct real time ,954
visby medical,visby medical  point care ,741
vitane biologics pvt  telangana,covtect  qualitative ,1443
vitro sa spain dss imagetech private ,  ,1444
vitromed healthcare,vitromed 2019 ,1445
vitrosens biyoteknoloji  sti,rapidfor ag  ,564
vivacheck biotech hangzhou  china,vivadiag igmigg rapid ,744
vivacheck biotech hangzhou co,vivadiag ag rapid ,798
vivacheck biotech hangzhou co,vivadiag pro ag rapid ,799
vivachek biotech hangzhou ,immupass vivadiag ag rapid ,340
vivachek biotech hangzhou  china,verino neutralizing antibody fia  ,807
vivachek biotech hangzhou level 2 block 2 146 east chaofeng rd yuhang economy development zone hangzhou 311100 zhejiang china,vivadiag  igmigg rapid ,1111
voxtur bio  mumbai maharashtra india,voxel anti igg antibody detection kavach,1192
voxtur bio  surat gujarat india,coronavirus  iggigmrapid  ,1158
vyttra diagnosticos,smart ag,677
wallac oy,perkinelmer real time  assay,941
wallac oy finland,  qpcrreagent ,650
wama diagnostica,imuno rpido  ag,341
weiner lab,wl check ag,756
wells bio ,careus  antigen,110
wesail biotech ,wesail  antigen  ,754
willi fox gmbh,willi fox  antigen rapid ,755
won one medical ,wonmed  ag,757
wuhan easydiagnosis biomedicine  china,  igmiggantibody  ,633
wuhan easydiagnosis biomedicine  china,  nucleic acid  ,144
wuxi biohermes bio  medical technology ,biohermes antigen lateral flow assay,804
wuxi biohermes bio  medical technology ,biohermes neutralizing antibodies enzyme linked immunosorbent assay,803
xiamen amonmed biotechnology , antigen rapid colloidal gold,186
xiamen biotime biotechnology  china,biotime  iggigm rapid qualitative ,103
xiamen biotime biotechnology  china distributed oneill medical  horiba instrument orporated lifesaving global  the ruhof corporation marlans group us jemf pharma,biotime  iggigm rapid qualitative ,102
xiamen biotime biotechnology  china distributed telepoint medical services ,rebranded by telepoint medicalservices llc,571
xiamen boson biotech ,boson biotech rapid 2019 iggigm combo  card,840
xiamen boson biotech ,promeds diagnostics 2019 iggigm combo  card,846
xiamen boson biotech ,xiamen boson rapid 2019 iggigm combo  card,906
xiamen boson biotech  china,rapid antigen  card,"559,560,561,562"
xiamen wiz biotech , influenza ainfluenza antigen rapid ,654
xiamen wiz biotech co,wiz biotech antigen rapid ,801
xiamen zeesan biotech  china,  real  time pcr,651
xiamen zeesan biotech building 1 no 3701 xiangan north road torch hi  tech industrial development zone xiangan xiamen fujian 361101 china,  real time pcr,1057
xian tianlong sciencetechnology corporate limited,novel corona virus 2019 nucleic ac detection automatic nucleic acid extractor,934
xtrava health,spera  ag ,685
yaathum biotech private limited tamil nadu india,  qpcr multiplex ,1446
yashraj biotechnology limited,covigene  qualitative nucleic acid ,1447
yd diagnostics corp korea poct services private limited,molecutech real time  ,1448
yhlo iflash china,  igg clia,1190
youseq uk,19 enrdrp gene multiplex qpcr ,1449
yuvraj biobiz ubator india pvt ,ybio rapid ag  ,"760,1234"
z biotech ,anylab  ag  ,45
zalgen labs ,re  antigen elisa ,573
zalgen labs ,re  antigen rapid ,574
zalgen labs ,re pan corona antigen elisa ,575
zephyr biomedicals division of tulip diagnostics pvt ,igg covimmuno device,1178
zephyr biomedicals division of tulip diagnostics pvt ,rapid  detection igm and igg antibodies,1176
zephyr biomedicals tulip diagnostics goa india,covirat  rapid antigen  ,1147
zephyr biomedicalstulip group,covirat  rapid antigen  ,230
zhejiang anji saianfu biotech co,andlucky  antigen rapid  cassette,827
zhejiang anji saianfu biotech co,seinofy  antigen rapid  cassette,831
zhejiang anji saianfu biotech co,seinofy  iggigm rapid ,823
zhejiang kuaye biotechnology ,ky bio  ag ,858
zhejiang kuaye biotechnology ,ky bio  nab ,833
zhejiang orient gene biotech,coronavirus ag rapid ,138
zhejiang orient gene biotech,lambra coronavirus rapid antigen ,376
zhejiang orient gene biotech  china, iggigm rapid  cassette,203
zhongshan chuangyi biochemical engineering  china, iggigm rapid  ,205
zhuhai encode medical engineering ,encode antigen rapid  device,260
zhuhai lituo biotechnology , antigen detection  colloidal gold,165
zhuhai lituo biotechnology , antigen detection  immunofluorescence assay,166
zhuhai livzon diagnostic ,livzon rapid  antigen lateral flow,813
zhuhai livzon diagnostics ce ivd, igmigg antibodyrapid  ,1185
zhuhai sinochips bioscience , nucleic acid ,"207,208"
zybio ,  nucleic acid detection  fluorescent probe method,1032
zybio  floor 1 to floor 4 building 30 no6 of taikang road block of jianqiao industrial park dadukou district 400082 chongqing china,  antigen assay  colloidal gold,1067
zybio  floor 1 to floor 4 building 30 no6 of taikang road block of jianqiao industrial park dadukou district 400082 chongqing china,  antigen assay  colloidal gold method,1060
zybio  floor 1 to floor 4 building 30 no6 of taikang road block of jianqiao industrial park dadukou district chongqing china 400082,  antigen assay  colloidal gold method,1059
zybio  floor 1 to floor 5 building 30 no6 of taikang road block of jianqiao industrial park dadukou district 400082 chongqing peoples republic of china,molaccu  detection ,1021
zybio china biodx healthcare,zybio na detection ,1450
zybio floor 1 to floor 5 building 30 no6 of taikang road block of jianqiao industrial park dadukou district chongqing china,  nucleic acid detection  fluorescent probe method,1012
zybio floor 1 to floor 5 building 30 no6 of taikang road block of jianqiao industrial park dadukou district chongqing china 400082,  nucleic acid detection  fluorescent probe method,1014
zydus cadila healthcare  ahmedabad gujarat india, kavach igg elisa,1188
zymo research corp,quick rrt ,535
