manufacturer_keywords,product_keywords,Unique Identifier 
assure tech hangzhou  china,ecotest  antigen saliva  ,254
assure tech hangzou ,ecotest  neutralizing antibody fia whole bloodserumplasma,850
athenese dx,trustline  ag rapid ,728
athenesedx private limited chennai,trustline  agrapid ,1120
athenesedx private limited chennai tamilnadu india,trustline  ab rapid ,1174
athenesedx private limited tamil nadu,aridia  real time detection ,1277
atila biosystems ,iamp  detection ,328
atila biosystmes  ,iamp  detection ,925
atlaslink beijing technology ,nova  antigen rapid colloidal gold immunochromatography,443
atlaslink beijing technology  china,nova  iggigm antibody  colloidal gold,444
atomo diagnostics limited,atomorapid igmigg antibody ,63
augurix sa,simtomax coronacheck antigen,673
aura biotechnologies private limited chennai, 19 auras coronavirus  real time detection ,1278
avacta life sciences ,affidx lateral flow antigen ,27
aviencebiomedicals pvt  delhi,avien covi quick  hid rtqpcr assay,1279
aviencebiomedicals pvt  delhi,avienbio  assay,1280
axisshield diagnostics  scotland,panbio igg elisa,1213
axiva sichem biotech sonipat,one step  ,1281
bag diagnostics germany shiva scientific company new delhi,viroq e gene  rdrp,1282
bbb ,mark  antigen ,406
bbb  distributed celltrion usa ,sampinute  antigen mia,594
beckman coulter  ireland,beckman coulter immunoglobulin igg antibody ivd  chemi  luminescent immunoassay,910
beckman coulter 250 kraemer boulevard brea ca 92821 usa,access igg,"1084,1085"
beckman coulter 250 kraemer boulevard brea ca 92821 usa,access igm,"1083,1086"
becton dickinson  company bd,bd veritor at home  ,67
becton dickinson  company bd,bd veritor system rapid detection  flu ab,69
becton dickinsoncompany,bd  rapid detection  ,65
becton dickinsoncompany,bd reagents,66
becton dickinsoncompany,bd veritor system rapid detection  ,68
becton dickinsoncompany  7 loveton circle sparks maryland 21152 usa,bd  flu bd max syste,1073
beijing abace biology , viral antigen colloidal gold immunochromatography,218
beijing abace biology , viral antigen elisa,219
beijing applied biological technologies ,multiple real time  detection 2019 ncov,1151
beijing applied biological technologies  xabt,multiple real time  detection 2019 ncov,422
beijing applied biological technologies room a204 no 29 shengmingyuan road science park changping district 102206 beijing china,multiple real time  detection 2019 ncov,1066
beijing core technology , ag ,160
beijing core technology , saliva ag ,215
beijing diagreat biotechnologies ,2019 antigen rapid colloidal gold assay,9
beijing hotgen biotech co9 building no9 tianfu street daxing district beijing 102600 pr china,novel coronavirus 2019 antigen  colloidal gold,1101
beijing jinwofu bioengineering technology co,novel coronavirus antigen rapid  ,455
beijing kewei clinical diagnostic reagent ,kewei  antigen rapid colloidal gold,371
beijing kewei clinical diagnostic reagent ,kewei  antigen rapid fluorescence,372
beijing lepu medical technology ,2019 antigen rapid colloidal gold immunochromatography,10
beijing lepu medical technology ,reiged diagnostics nucleic acid fluorescence probe method,814
beijing nagene diagnosis reagent ,multiple real time  detection 2019 ncov,1152
beijing north institute of biotecnology co,bnibt  antigen repid ,837
beijing savant biotechnology ,new coronavirus n protein detection  fluorescence immunochromatography,436
beijing tigsun diagnostics ,tigsun  antigen rapid  fia,719
beijing tigsun diagnostics ,tigsun  antigen saliva rapid ,720
beijing tigsun diagnostics ,tigsun flu ab  ag combo ,721
beijing tigsun diagnostics ,tigsun flu ab rsv  ag combo ,722
beijing wantai biological pharmacy enterprise ,wantai ,753
beijing wantai biological pharmacy enterprise ,wantai ag elisa,749
