,manufacturer_keywords,product_keywords,Unique Identifier 
281,blue cross biomedical beijing , antigen ,187
282,bmt diagnostics rafael diagnosticisrael ,bmt  iggigm rapidtest  ,1166
283,boditech med ,afias  viral antigen automated,30
284,boditech med ,ichroma  viral antigen manual,329
285,boditech med orporated 43 geodudanji 1gil dongnaemyeon  chuncheonsi gangwondo 24398 republic of korea,ichroma  ag,1052
286,boditech med orporated 43 geodudanji 1gil dongnaemyeon  chuncheonsi gangwondo 24398 republic of korea,ichroma  ag ,1049
287,boditech med orporated43 geodudanji 1gil dongnaemyeon  chuncheonsi gangwondo 24398 republic of korea,ichroma  ab,1081
288,bogar bio bee stores pvt ,bio bee 19 detection ,1295
289,btnx ,rapid response  antigen rapid  device,552
290,btnx ,rapid response antigen rapid  device,"554,555,556,557"
291,btnx ,surescreen diagnostics 19 antigen rapid  cassette,700
292,btnx  canada, iggigm rapid ,198
293,btnx  canada,rapid response  iggigm rapid  device,553
294,cadila healthcare,cadila  antigen rapid ,107
295,calbiotech  usa,erbalisa  igg elisa,1214
296,calth ,allcheck 19 ag,34
297,camtech diagnostics  , viral antigen  ,217
298,cancer rop  anjanajyoti systems private limited,q sens 2019 detection ,1296
299,canon medical sciences corporation, coronavirus antigen  rapiim n prt c2n01a,596
300,canon medical systems corporation, coronavirus antigen  rapiim n prt  c2n01a,595
301,capebio technologies pty ,capebio qpcr multiplex  1000 reactions,991
302,capebio technologies pty ,capebio qpcr singleplex  1000 reactions,990
303,celer biotecnologia,celer  ag ,111
304,cellex ,cellex  antigen rapid ,114
305,cellex  united states of america,q  iggigm rapid ,"517,518,519"
306,cellspect co,quampas  antigen  ,520
307,celltrion,celltrion diatrust  ag rapid ,116
308,cepheid,xpert xpress  ,"759,922"
309,cepheid 904 caribbean drive sunnyvale ca 94089 usacepheid ab rontgenvagen 5 se171 54 solna sweden,xpert xpress  real time xpr cov2 10,789
310,cepheid hq ,xpert xpress  flursv,966
311,cepheid united states,xpert xpress  ,1297
312,cepheid united states cepheid india private limited,xpert xpress  ,1298
313,certest biotec sl,certest  ,118
314,certest biotec sl  abacus dx,viasure realtime detection ,736
315,certest biotec sl  becton dickensen,viasure s genereal time detection ,737
316,chaozhou hybribio biochemistry , real time ,211
317,chaozhou hybribio biochemistry d5334 high new area economic development experimental zone 521000 chaozhou guangdong china, real time ,1095
318,chembio diagnostic system ,ol  ag,467
319,chembio diagnostic system oswaldo cruz foundation,dpp antigen system,246
320,chembio diagnostic systems ,chembio dpp antigen ,1007
321,chembio diagnostic systems ,chembio dpp igmigg rapid lateral flow assay,913
322,chemgenes corporation usa chemgenes india pvt ,chemgenes iq 4 multiplex ,1299
323,chromacode ,hdpcr assay,318
324,clear labs ,clear dx ,124
325,clinomics usa ,clinomics triodx  ,127
326,codiagnostics ,logix smart coronavirus disease 2019  ki,932
327,codiagnostics ,logix smart coronavirusdisease 2019  ,383
328,confirm biosciences,verasure  antigen rapid swab ,732
329,core technology  ,istoc  iggigm rapid  cassette,897
330,coris bioconcept, ag respi strip,157
331,cosara diagnosticspvt limited ahmedabad india,saragene  v2 real time  ,1300
332,cosara diagnosticspvt limited ahmedabad india,saragenetm corona virus 2019 ncv  ,1301
333,coyote bioscience  china,directdetect  detection ,245
334,creative biolabs,  2019 nucleoprotein protein elisa ,597
335,ctk biotech ,answer  ag rapid ,830
336,ctk biotech ,answer  iggigm rapid ,856
337,ctk biotech ,aria  ag rapid ,825
338,ctk biotech ,onsite  ag point care aria  ag rapid ,473
339,ctk biotech ,onsite  ag rapid ,"471,790"
340,ctk biotech ,onsite  iggigm rapid ,851
341,ctk biotech  united states of america,aridia  real time ,50
342,ctk biotech  usa,onsite  iggigm rapid  aria  iggigm rapid ,472
343,ctk biotech 13855 stowe dr poway california usa,aria  iggigm rapid ,1104
344,cue health ,cue  ,233
345,da an gene  of sun yatsen university,detection  2019 novel coronavirus 2019 rna  fluorescence probing,"235,236,237"
346,daan gene  china,daan gene co ltd,1302
347,daan gene  of sunyatsen university guangzhou hitech industry development zone no 19 xiang shan rd guangzhou china,detection  2019 fluorescence,1109
348,delphi bioscience asia  ,pocroc antigen rapid  ,505
349,denka ,quicknavi 19 ag,537
350,denka ,quicknavi flu19 ag,538
351,denka seiken ,quicknavi  flu19 ag,536
352,detect ,detect  ,234
353,detectachem ,mobiledetect bio bcc19  ,420
354,dia sure immuno diagnostics llpdelhi india,dsi  ag rapid  ,1123
355,dia sure immunodiagnostic llp,dsi ag rapid ,248
356,diabetomics ,covab ab ,141
357,diacarta ,quantivirus  ,"524,525,526"
358,diacarta ,quantivirus mulitplex  ,"521,522,523"
359,diagnocure india,xamin  ag rapid  human nasal swab,758
360,diagnocure india solan hp,xamin  ag rapid  device,1124
361,diagnocure solan hp india,xamin  rapid device ,"1168,1183"
362,diagnostic enterprises parwanoo himachal pradesh india, antigen  card,189
363,dialab gmbh,diaquick  ag ,244
364,diapro diagnostic bioprobes srl,sara instrument,821
365,diapro diagnostic bioprobes srl italy, igg elisa,1200
366,diapro diagnostic bioprobes srlvia carducci 27  sesto san giovanni mi  italy, igg,1075
367,diapro diagnostic bioprobes srlvia carducci 27  sesto san giovanni mi  italy, igm,1076
368,diasolex solutions llp karnataka india,dx  ,1303
369,diasorin,liaison ag,379
370,diasorin molecular,simplexa  direct,672
371,diasorin spa,liaison ag,378
372,diasorin spa via crescentino snc 13040 saluggia vc italy,liaison  igm ,779
373,diasorin spa via crescentino snc 13040 saluggia vc italy,liaison  s1s2 igg ,780
374,dna diagnostic, antigen detection ,164
375,dna technology research  production  russia 365 medical india, multiplex rteal time detection ,1304
376,dna xpertpvt  noida india,xperto 19 fast ,1305
377,dna xpertpvt  noida india,xperts o19 multiplex ,1306
378,dxgen corp,epithod  ag  ,261
379,dxgen corp,epithod qag  ,262
380,dynamiker biotechnology tianjin ,dynamiker ag rapid ,249
381,dynamiker biotechnology tianjin  no 14 building ecobusiness park 2018 zhongtian avenue sinosingapore tianjin eco city 300467 tianjin china,2019 iggigm rapid ,1100
382,e25bio, dart,195
383,eco diagnostica,flu ab ag combo eco e,225
384,edge pharma pvt  mumbai maharashtra india,edge xpress  ag  ,1247
385,edge pharma pvt  mumbai maharashtra india,edgexpress  ab detection iggigm,1179
386,edinburgh genetics limited,edinburgh genetics activxpress  antigen complete ing ,255
387,edinburgh genetics uk biopanda reagents uk,edinburgh genetics  colloidal gold immunoassay ing  igg  igm combined,1172
388,eiken chemical ,loopamp new coronavirus 2019 detection reagent ,385
389,elitechgroup spa,  elite mgb  ,981
390,elitechgroup spacorso svizzera 185 torino10149 italy,  elite mgb ,1019
391,ellume ,ellume  home ,258
392,emmo pharma,encode  rapid ,259
393,empowered diagnostics  united states of america,covclear  antigen ,142
394,enzo life sciences ,ampiprobe  assay ,41
395,equine biotech karnataka ebt pvt ,global  ,1307
396,erba mannheim group  transasia biomedical,erbaqik  ag rapid ,264
397,euroimmun ag,  antigen elisa,609
398,euroimmun medizinische labordiagnostika ag germany,eurorealtime  ,267
399,euroimmun medizinische labordiagnostika ag germany,eurorealtime 3,268
400,euroimmun medizinische labordiagnostika ag germany,eurorealtime 4,269
401,euroimmun medizinische labordiagnostika ag germany,eurorealtime 5,270
402,euroimmun medizinische labordiagnostika ag germany,eurorealtime 6,271
403,euroimmun medizinische labordiagnostika ag germany,eurorealtime 7,272
404,euroimmun uk cpc diagnostics pvt ,euro real time  ,1308
405,euroimmun us  usa,euroimmun anti  igg elisa,1189
406,excalibur health services,excalibur rapid antigen  card,273
407,fast track diagnostics luxembourg srl,fast track diagnostics ,957
408,fast track diagnostics luxembourg srl  29 rue henri koch l4354 eschsuralzette luxembourg,ftd  ,1016
409,fast track diagnostics luxembourg srl siemens healthineers company,ftd  ,"289,290"
410,fast track diagnostics luxembourg srl siemens healthineers company,ftd 3,291
411,floor 1 to floor 5 building 30 no6 of taikang road block of jianqiao industrial park dadukou district 400082 chongqing peoples republic of china,molaccu  detection ,1020
412,fluidigm corporation,advanta dx  assay,25
413,foracare suisse ag, antigen rapid ,171
414,fortress diagnostics ,coronavirus antigen rapid ,139
415,fujifilm corporation,acura seed antigen,23
416,fujifilm corporation,fuji dry chem immuno ag handy  ag,293
417,fujifilm corporation,fujifilm  ag ,294
418,fujifilm wako pure chemical corporation,accuraseed  ag,20
419,fujifilm wako pure chemical corporation,taswako  ,761
420,fujirebio ,espline  ,265
421,fujirebio ,espline  flu ab,266
422,fujirebio ,lumipulse   ag,388
423,fujirebio ,lumipulse ag,390
424,fujirebio ,lumipulse presto ag,389
425,ga generic assays gmbh,ga cov2 igg elisa,"1210,1211"
426,gadia diagnostics sa,ia antigen,227
427,gcc biotech india private limited,diagsure 19 detection assay taqman based,1309
428,gcc biotech india private limited,diagsuren 19 detection assay multiplex taqman,1310
429,genbio pharmaceutical , antigen lateral flow assay,168
430,genbody ,genbody fia  ag,298
431,genbody ,genbody influenza ag multi,299
432,genbody  korea  republic of,genbody  ag,297
